"repo","file","key_path"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure_local.storage_path_ids"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure.location"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure.resource_group"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure.subscription_id"
"azurelocal-sofs-fslogix","config/variables.example.yml","azure.tenant_id"
"azurelocal-sofs-fslogix","config/variables.example.yml","cloud_witness"
"azurelocal-sofs-fslogix","config/variables.example.yml","cloud_witness.endpoint"
"azurelocal-sofs-fslogix","config/variables.example.yml","cloud_witness.key_secret"
"azurelocal-sofs-fslogix","config/variables.example.yml","cloud_witness.key_uri"
"azurelocal-sofs-fslogix","config/variables.example.yml","cloud_witness.name"
"azurelocal-sofs-fslogix","config/variables.example.yml","data_disks"
"azurelocal-sofs-fslogix","config/variables.example.yml","data_disks.count"
"azurelocal-sofs-fslogix","config/variables.example.yml","data_disks.dynamic"
"azurelocal-sofs-fslogix","config/variables.example.yml","data_disks.size_gb"
"azurelocal-sofs-fslogix","config/variables.example.yml","deployment"
"azurelocal-sofs-fslogix","config/variables.example.yml","deployment.cloud_cache_enabled"
"azurelocal-sofs-fslogix","config/variables.example.yml","deployment.guest_layout"
"azurelocal-sofs-fslogix","config/variables.example.yml","deployment.guest_resiliency"
"azurelocal-sofs-fslogix","config/variables.example.yml","deployment.guest_volume_layout"
"azurelocal-sofs-fslogix","config/variables.example.yml","deployment.host_resiliency"
"azurelocal-sofs-fslogix","config/variables.example.yml","deployment.host_volume_layout"
"azurelocal-sofs-fslogix","config/variables.example.yml","dns_servers"
"azurelocal-sofs-fslogix","config/variables.example.yml","domain"
"azurelocal-sofs-fslogix","config/variables.example.yml","domain.cluster_ou_path"
"azurelocal-sofs-fslogix","config/variables.example.yml","domain.fqdn"
"azurelocal-sofs-fslogix","config/variables.example.yml","domain.join_password"
"azurelocal-sofs-fslogix","config/variables.example.yml","domain.join_username"
"azurelocal-sofs-fslogix","config/variables.example.yml","domain.netbios"
"azurelocal-sofs-fslogix","config/variables.example.yml","domain.nodes_ou_path"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix.cloud_cache"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix.cloud_cache.azure_provider"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix.cloud_cache.enabled"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix.cloud_cache.providers"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix.delete_local_profile"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix.enabled"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix.flip_flop_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix.profile_size_mb"
"azurelocal-sofs-fslogix","config/variables.example.yml","fslogix.volume_type"
"azurelocal-sofs-fslogix","config/variables.example.yml","fsrm"
"azurelocal-sofs-fslogix","config/variables.example.yml","fsrm.enabled"
"azurelocal-sofs-fslogix","config/variables.example.yml","fsrm.soft_limit"
"azurelocal-sofs-fslogix","config/variables.example.yml","fsrm.template_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","guest_config_engine"
"azurelocal-sofs-fslogix","config/variables.example.yml","host_volumes"
"azurelocal-sofs-fslogix","config/variables.example.yml","host_volumes.storage_pool_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","host_volumes.volumes"
"azurelocal-sofs-fslogix","config/variables.example.yml","host_volumes.volumes.size_tb"
"azurelocal-sofs-fslogix","config/variables.example.yml","keyvault"
"azurelocal-sofs-fslogix","config/variables.example.yml","keyvault.name"
"azurelocal-sofs-fslogix","config/variables.example.yml","keyvault.resource_group"
"azurelocal-sofs-fslogix","config/variables.example.yml","keyvault.subscription_id"
"azurelocal-sofs-fslogix","config/variables.example.yml","keyvault.tenant_id"
"azurelocal-sofs-fslogix","config/variables.example.yml","permissions"
"azurelocal-sofs-fslogix","config/variables.example.yml","permissions.admin_group"
"azurelocal-sofs-fslogix","config/variables.example.yml","permissions.avd_users_group"
"azurelocal-sofs-fslogix","config/variables.example.yml","permissions.users_group"
"azurelocal-sofs-fslogix","config/variables.example.yml","s2d"
"azurelocal-sofs-fslogix","config/variables.example.yml","s2d.data_copies"
"azurelocal-sofs-fslogix","config/variables.example.yml","s2d.pool_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","s2d.volume_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","s2d.volume_size_gb"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.access_point_ip"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.anti_affinity_rule_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.caching_mode"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.cluster_ip"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.cluster_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.continuous_availability"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.folder_enumeration_mode"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.role_enabled"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.role_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.share_name"
"azurelocal-sofs-fslogix","config/variables.example.yml","sofs.smb_encryption"
"azurelocal-sofs-fslogix","config/variables.example.yml","tags"
"azurelocal-sofs-fslogix","config/variables.example.yml","tags.environment"
"azurelocal-sofs-fslogix","config/variables.example.yml","tags.project"
"azurelocal-sofs-fslogix","config/variables.example.yml","tags.solution"
"azurelocal-sofs-fslogix","config/variables.example.yml","tags.workload"
