"repo","file","key_path","canonical_key_path","classification","notes"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.virtual_users","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","hammerdb.warehouse_count","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","keyvault","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","keyvault.auth_method","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","keyvault.name","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","monitoring","operations.monitoring","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","monitoring.collection_interval_seconds","operations.monitoring.collection_interval_seconds","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","monitoring.enable_real_time","operations.monitoring.enable_real_time","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","monitoring.log_analytics_shared_key","operations.monitoring.log_analytics_shared_key","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","monitoring.log_analytics_workspace_id","operations.monitoring.log_analytics_workspace_id","alias_candidate","Legacy compatibility root mapped to canonical prefix"
"azurelocal-loadtools","config/variables.example.yml","networking","networking","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","networking.compute","networking.compute","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","networking.compute.subnet","networking.compute.subnet","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","networking.compute.vlan_id","networking.compute.vlan_id","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","networking.management","networking.management","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","networking.management.subnet","networking.management.subnet","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","networking.management.vlan_id","networking.management.vlan_id","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","networking.storage","networking.storage","canonical_candidate","Already under canonical root"
